sex,pred_body_mass_g
Male,3768.965394790395
Female,3623.475285748631
Female,3360.5070033747807
Female,3514.870045264023
Male,3863.0518158942477
Female,3483.920995445496
Male,4381.8251561139705
Female,3352.749394187957
Male,3900.3798147107336
Male,4216.003488053914
Female,3482.9967968564365
Female,3570.932752583793
Male,4324.002064390877
Female,3261.3116705822304
Male,4168.850641025641
Female,3365.442013949989
Male,3717.5849484823166
Female,3663.5311438318017
Male,3884.300600433726
Male,3788.7895781119464
Female,3716.368776106934
Male,3633.9152116402115
Female,3316.160952423967
Female,3249.403914986754
Male,3861.3247354497357
Female,3245.2607917162636
Male,3862.5012183235867
Female,3403.7235897866044
Male,3799.420732954284
Female,3308.222468187449
Male,4210.231266438829
Male,3947.8657626930635
Female,3450.2734647681414
Female,3488.729445705485
Male,4210.315808249358
Female,3244.3901086100423
Male,4045.902211590599
Female,3284.1890495302337
Male,4349.827797486311
Female,3147.130802750981
Male,4303.350876814265
Male,3606.9485449735453
Female,3410.446421707394
Male,4154.858722644904
Female,3489.529078119222
Male,4183.937931399113
Female,3484.599991897543
Male,4102.2319936391905
Female,3164.772781693341
Male,3795.644097811103
Female,3537.729414085573
Male,3902.575376291395
Female,2950.3319497249217
Male,3857.110859956911
Female,3190.087029857208
Male,4268.57381763763
Female,3357.2756105473513
Male,3957.1614176623048
Female,3013.4143135110544
Male,3997.7776514285383
Female,3334.963405058993
Male,3976.9272735384548
Female,3147.2962916168804
Male,4232.871062903259
Female,3555.6138157894734
Male,4070.7752229359794
Female,3526.685662981233
Male,4298.393677849928
Female,3516.6316949167453
Male,4203.233529346917
Female,3475.3019705988445
Male,3901.066194061358
Female,3346.6965187590195
Male,4133.492635774832
Female,3283.968184639925
Male,4423.761688311689
Female,3680.2803296555567
Male,4055.2902397281664
Female,3361.238895989564
Male,3813.014062346626
Male,3902.234847861261
Female,3440.706183457604
Male,3920.4226357785546
Female,3584.9543836352027
Female,3533.2727926587304
Male,4239.915357096607
Female,3302.410473600964
Male,4167.751119724376
Female,3342.1886567705697
Male,4259.657467532468
Female,3450.6831308689584
Male,4192.756306107194
Female,2941.5
Male,4146.513611753743
Female,3560.6535994011506
Male,4468.424954362086
Female,3115.6771013708517
Male,4026.552166201836
Female,3226.825939869539
Male,3839.1903605489115
Female,3685.9454658189034
Male,3940.808118582788
Female,3208.6009218985814
Male,4498.920934210699
Female,3649.3906746031744
Male,4371.889835164835
Female,3340.861301090953
Male,4211.37387374982
Female,3765.4884680134683
Male,4185.346874335262
Female,3121.230749109769
Male,3908.0258756200515
Female,3300.595966857708
Male,3606.023017965024
Female,3300.8454429854446
Male,3828.3088075137402
Female,3376.797119718748
Male,3994.381197882085
Female,3143.583225108225
Male,4058.2705451339916
Female,3346.215884625928
Male,4161.799298531437
Female,3221.846245905253
Male,4247.744047619048
Female,3379.9127526884217
Male,3883.176507803772
Female,3406.738831513003
Male,4193.453564404453
Female,3382.5115733283765
Male,3844.9224032911534
Female,3368.67435681826
Male,4109.290996441942
Female,3294.7002036931754
Male,4144.9555360439235
Female,3371.375885128365
Male,3636.847348484848
Female,3108.181421356421
Male,3773.5387392699895
Female,3096.3360495713446
Male,3759.992251837876
Male,4041.7006197613755
Female,3399.3964000310407
Female,3416.173904271127
Male,3876.966811902568
Female,3432.208070032311
Male,4064.3346340292715
Female,3480.912310007999
Male,3837.6318958002776
Male,3689.6242521367526
Female,3561.6580632888817
Male,3725.007626319758
Female,3761.08175971538
Female,3400.663657468959
Male,3766.029067460318
Female,3926.9380747126434
Male,3695.5097096530917
Female,3712.3411834095027
Male,3731.945833333333
Female,3620.413658910534
Male,4118.5888888888885
Female,3541.9305258797713
Male,4050.347209653092
Male,3511.7549019607845
Female,3648.9065656565654
Female,3518.4650607295002
Male,4262.683441558442
Female,3497.160148588028
Male,3695.0333333333338
Female,3058.2095890382234
Male,3781.457585470085
Female,3485.7520284672228
Male,3899.5304437800764
Female,3551.732837301587
Male,3893.1873882245204
Female,3656.448033312473
Male,4439.338235294117
Female,3192.7860951709795
Male,4215.25
Female,3299.7095800194634
Male,4078.0333333333333
Male,3746.171590909091
Female,3689.370833333334
Female,3719.7682539682532
Male,4593.625
Female,3034.941666666666
Male,4382.088235294117
Male,4076.2583333333337
Female,3624.306321627951
Male,3694.1860624669443
Female,3577.304527572524
Female,3621.3606150793653
Male,4246.722222222223
Female,3479.734952200577
Male,4518.0
Male,3358.1125
Female,3699.0070616883113
Female,3436.0000000000005
Male,3995.7638763197583
Female,3581.4139674382127
Male,4068.4326797385625
Female,3425.335758139009
Male,3656.424900793651
Female,3277.277272727273
Male,4135.373724804607
Male,3910.6472222222224
Female,3614.5246818555006
Male,4043.6527777777774
Female,3468.3927489177486
Female,3600.849880136626
Male,4167.125
Female,3506.288646487234
Male,3784.052083333333
Male,4194.25
Female,3729.51875
Female,4560.483928571429
Male,5685.865674603175
Female,4545.064285714285
Male,5610.994660894661
Male,5419.924107142857
Female,4484.283928571428
Female,4655.390021090021
Male,5185.66604010025
Female,4386.463095238095
Male,5177.573809523809
Female,4727.589285714286
Male,5501.03244047619
Female,4682.676406926407
Male,5537.9
Female,4382.530677655678
Male,5713.77986111111
Female,4221.25
Male,6018.895305973266
Female,4695.21163003663
Male,5452.899671052632
Male,5504.244660894661
Female,4908.133333333333
Female,4517.583333333334
Male,5129.041666666667
Female,4953.283333333334
Male,5134.951785714286
Male,5508.732440476189
Female,4615.580357142857
Male,5552.16962956634
Male,5251.29104010025
Female,4605.708333333334
Female,4717.101190476191
Male,5899.166666666668
Female,5097.0
Male,5513.197916666668
Female,4850.683333333333
Male,5343.175
Female,4316.734523809524
Male,5084.6875
Female,4134.083333333334
Male,5639.119642857143
Female,4305.9309523809525
Male,5054.710416666667
Male,5571.767875180375
Female,4821.591666666667
Female,4268.003296703297
Male,5422.448629148629
Female,4934.241666666667
Male,5259.675
Female,4700.34913003663
Male,5358.426754385964
Female,4500.451190476191
Male,5137.669827979038
Female,4841.525
Male,5099.520833333334
Female,4320.436904761905
Male,5103.604166666666
Female,4489.204166666666
Male,5495.705145439355
Female,4295.145238095239
Male,5266.749373433583
Female,4513.253787878788
Male,5614.750793650794
Female,4680.375
Male,5731.18630952381
Male,5773.152976190477
Female,4702.75
Male,5467.834510518721
Female,4803.416666666667
Male,5130.472587719298
Male,5309.706813909775
Female,5070.075
Female,4774.875
Male,5779.71369047619
Female,4663.041094322344
Male,5798.666666666666
Female,4783.355952380953
Male,5719.625
Female,4702.392857142857
Male,5520.687071846282
Female,4744.398733211233
Male,5500.226605339106
Female,4753.409343434343
Male,5530.290674603175
Female,4680.291666666666
Male,5393.080555555556
Female,4773.78782051282
Male,5578.694246031747
Female,4900.575
Male,5460.201984126985
Female,4716.902521090021
Male,5667.359821428571
Female,4805.145454545454
Male,5331.176587301588
Male,5173.85625
Female,4886.325
Female,4310.5
Male,5394.907341269842
Female,4886.45
Male,5605.934523809526
Female,4957.75
Male,5524.786278195488
Male,5425.092857142857
Female,4552.0
Male,5483.181150793651
Female,4453.61875
Male,5261.125
Female,4986.0
Male,5738.204761904763
Female,4769.383333333333
Male,5554.709722222223
Female,4587.375
Male,5748.156150793652
Male,5881.98125
Female,4835.666666666666
Female,4822.075
Male,5630.017875180375
Female,5024.52601010101
Male,5368.6406926406935
